title,description,authors,categories
Library of Congress Subject Headings,,['Library of Congress'],"['Subject headings, Library of Congress']"
Library of Congress Subject Headings,,['Library of Congress. Cataloging Policy and Support Office'],"['Subject headings, Library of Congress']"
The Royal Magazine,,[],[]
Pearson's Magazine,,[],['English fiction']
Catalogue of the Oakland Free Public Library,,['Oakland Free Library'],['Library catalogs']
"Hugo Gernsback, Father of Modern Science Fiction",,['Mark Siegel'],['Literary Criticism']
Papers and Proceedings,,['American Library Association. Annual Conference'],['Library science']
The Central Literary Magazine,,[],[]
Critical Survey of Long Fiction,A comprehensive study of long fiction authors writing in languages other than English and of the development of the genre in various geographic regions.,['Frank Northen Magill'],['Fiction']
The American Catalogue,,[],['American literature']
"Catalogue of books in the lending library. 2nd 10,000",,['Edinburgh publ. libr'],[]
The Bookman,,[],['Book collecting']
Library Journal,"Includes, beginning Sept. 15, 1954 (and on the 15th of each month, Sept.-May) a special section: School library journal, ISSN 0000-0035, (called Junior libraries, 1954-May 1961). Issued also separately.","['Melvil Dewey', 'Richard Rogers Bowker', 'L. Pylodet', 'Charles Ammi Cutter', 'Bertine Emma Weston', 'Karl Brown', 'Helen E. Wessells']",['Libraries']
Scribners Monthly,,"['Josiah Gilbert Holland', 'Richard Watson Gilder']",['American literature']
American Magazine,,[],['American literature']
Harper's Monthly Magazine,,[],[]
Analog Science Fiction/science Fact,,[],['Science fiction']
Documents of the ... Legislature of the State of New Jersey,,['New Jersey. Legislature'],['New Jersey']
Book News Monthly,,[],['American literature']
A Catalogue of the Bibliographies of Special Subjects in the Library,,['Boston Public Library'],[]
The Chautauquan,,[],[]
"Publishers' Circular and General Record of British and Foreign Literature, and Booksellers' Record",,[],[]
"Bulletin ... of Books Added to the Public Library of Detroit, Mich",,['Detroit Public Library'],['Dictionary catalogs']
Annual Report of the Trustees of the Public Library of the Cty of Boston,,['Trustees of the Public Library of the City of Boston'],['Libraries']
The Annual Literary Index,,[],['American periodicals']
Catalogue of Books in the Lending Library,,['Edinburgh (Scotland). Public Library'],['Dictionary catalogs']
The Booklovers Magazine,,[],[]
Municipal Register ...,"Contains a list of the officers of the city government and its various departments, message of the Mayor, annual reports of the several departments, ordinances, etc.",['Hartford (Conn.)'],[]
Canadian Review,,[],['Arts']
Annual Report of the Pomona Public Library,,"['Pomona Public Library (Pomona, Calif.)']",[]
The Publishers Weekly,,[],['American literature']
Chambers's Encyclopædia,,[],['Encyclopedias and dictionaries']
The Book Monthly,,[],"['Bibliography, National']"
Bulletin of the Public Library of the City of Boston,,['Boston Public Library'],[]
"Dictionary Catalog of the Research Libraries of the New York Public Library, 1911-1971",,['New York Public Library. Research Libraries'],['Library catalogs']
The Library World,,[],['Library science']
The Bohemian,,[],[]
The Federal Reporter,"Includes cases argued and determined in the District Courts of the United States and, Mar./May 1880-Oct./Nov. 1912, the Circuit Courts of the United States; Sept./Dec. 1891-Sept./Nov. 1924, the Circuit Courts of Appeals of the United States; Aug./Oct. 1911-Jan./Feb. 1914, the Commerce Court of the United States; Sept./Oct. 1919-Sept./Nov. 1924, the Court of Appeals of the District of Columbia.",[],"['Law reports, digests, etc']"
The Courier,,[],[]
The Encyclopaedia Britannica,,"['Day Otis Kellogg', 'Thomas Spencer Baynes', 'William Robertson Smith']",['Encyclopedias and dictionaries']
Using Bibliotherapy,,['Rhea Joyce Rubin'],['Bibliotherapists']
Caroline Gordon,Presents the life and works of Southern novelist and short story writer Caroline Gordon. Includes a chronology.,['William Joseph Stuckey'],['Kentucky']
Vidyodaya Journal of Social Science,,[],['Social sciences']
Johnson's Universal Cyclopædia,,[],['Encyclopedias and dictionaries']
International Directory of Little Magazines & Small Presses,,['Lenard V. Fulton'],['Little magazines']
Beeton's Encyclopædia of universal information,,['Samuel Orchart Beeton'],[]
Annual Report of the Board of Directors of the Los Angeles Public Library and Report of Librarian,,['Los Angeles Public Library'],[]
The Publishers' Trade List Annual,,[],"[""Catalogs, Publishers'""]"
Book Acquisition and Use by Young People,,"['Margaret Kinnell', 'Margaret Kinnell Evans', 'Helen Pain-Lewins', 'Janet Stevenson']",['Children']
The Indian National Bibliography,,[],['India']
Annual Magazine Subject-index,,[],['Drama']
The Optical Journal and Review of Optometry. ...,,[],[]
Alternative Access for ELLs,,['Corey Elizabeth Ray-Subramanian'],[]
South Dakota Library Bulletin,,[],['Libraries']
American Cinematographer,,[],['Cinematography']
Oliver Optic's Magazine for Young and Old,,['Oliver Optic'],"[""Children's periodicals""]"
New Scientist and Science Journal,,[],['Science']
New Serial Titles,"A union list of serials commencing publication after Dec. 31, 1949.",[],['Periodicals']
Better Language and Thinking,,['Rachel Salisbury'],['Language Arts & Disciplines']
Meridian,,[],['English literature']
The Journal of Education,,[],['Education']
The Journal of speculative philosophy,,[],['Philosophy']
Topical Reference Books,"Like the other titles in Bowkers's Buying Guide series, it will be extremely useful... Booklist Topical Reference Books selects and recommends today's best specialized reference books. It gives librarians and teachers the help they need to make sound choices in a wide range of subject areas. It provides the titles, authors, publishers and ordering information for building strong collections of essential works, preparing for classes, or researching particular subjects. This book offers expert evaluations of over 2,000 preferred titles in 50 categores, from Advertising and Aging to Women's Studies and Zoology. In each category, you'll find: *Headnotes that provide background and suggestions for collection development *Core Titles that identify the most significant books *At-A-Glance charts to help you determine the suitability of particular works.",['Marion Sader'],['Language Arts & Disciplines']
Subject Index of Modern Books Acquired,,['British Library'],[]
The National Advocate,,[],['Temperance']
The World Tomorrow,,[],['Christian sociology']
Reference Book Review,,[],['Reference books']
Proceedings of the High School Conference,,['University of Illinois. High school visitor'],[]
"Taiwan Literature, English Translation Series",,[],['Chinese literature']
Sears List of Subject Headings,,"['Bertha Margaret Frick', 'Barbara Marietta Westby']",['Subject headings']
Elementary Children's Literature,"Written in a personable tone, this concise literature methods text is filled with classroom applications and teaching strategies for future teachers and parents of preschool and elementary children. Organized around genres, this student-friendly text presents the basic children's literature course content. Each genre chapter contains extensive up-to-date bibliographies most with annotations of books in print, and a few exceptional out-of-print books, and for each genre, there is a list of evaluation criteria. This exceptional textbook not only includes books about minorities in each chapter but it also features works by minority authors and illustrators. Uniquely, Elementary Children's Literature offers instructional and curriculum tie-ins that are woven within the text and in literature response boxes at strategic places in each chapter. Book illustrations are included at the beginning of each chapter as well as throughout the narrative.",['Nancy A. Anderson'],['Education']
Michigan Law Review,,[],['Law']
The Chief Works of Benedict de Spinoza: De intellectus emendatione. Ethica. Correspondence. (abridged),,['Benedictus de Spinoza'],"['Philosophy, Modern']"
The Long Haul,"This book is a collection of conversations with important contemporary Southern novelists and with Lewis P. Simpson, longtime co-editor of The Southern Review and an established authority on Southern literature. The two long conversations with Professor Simpson place the post World War II Southern novel in the context of modern literature and of the classical Southern novel. Professor Simpson, who knew many of the giants of Southern literature, assesses the writers of the past and the possibilities of the future. The volume includes conversations with Ernest Gaines, Madison Jones, Shirley Ann Grau, David Madden, the late John William Corrington, James Wilcox, and Vance Bourjaily. A chapter by the editor about his relationship with the late Walker Percy concludes the volume. Co-published with Southeastern Louisiana State University.",['William Parrill'],['Language Arts & Disciplines']
County Libraries in Great Britain and Ireland,,['Carnegie United Kingdom Trust'],['Libraries']
The Methodist Review,,[],['Methodist Church']
A Plan of Organization for Small Libraries,,"['Minnie Franklin (Clarke) Budlong', 'Minnie Clarke Budlong']",['Library science']
Women's Pictures,Charts the developments in feminist film theory drawing on both recent and classic films from the mainstream and alternative cinema.,['Annette Kuhn'],['Performing Arts']
Library of Congress Catalog,,['Library of Congress'],"['Catalogs, Subject']"
Cumulative Book Review Digest,,[],['Bibliography']
Dissertation Abstracts,,[],"['Dissertations, Academic']"
Australian National Bibliography,,[],['Australia']
International Book Trade Directory,,[],['Book industries and trade']
Tri-quarterly,,[],"[""College students' writings, American""]"
NewMedia,,[],['Multimedia systems']
Historical Intrusions Into the Fictional Domain in Book V of Spencer's Faerie Queene,,['Nancy C. Shih-Knodel'],[]
The 1974 Annual World's Best SF,,[],[]
News and the newspaper,,['Missouri. University. School of journalism'],[]
Some Problems in Book Selection Policies and Practices in Medium-sized Public Libraries,,['Dorothy Bendix'],['Book selection']
